번호,시간,회사명,종목코드,공시제목,제출인,접수일자
1059,17:59,롯데지주,004990,정기주주총회결과,롯데지주,2020-03-27
1058,17:57,한국콜마홀딩스,024720,타인에대한담보제공결정(자회사의 주요경영사항),한국콜마홀딩스,2020-03-27
1057,17:56,대한전선,001440,[연결포함]사업보고서(일반법인),대한전선,2020-03-27
1056,17:56,롯데정보통신,286940,사외이사의선임ㆍ해임또는중도퇴임에관한신고,롯데정보통신,2020-03-27
1055,17:55,한화시스템,272210,[연결포함]사업보고서(일반법인),한화시스템,2020-03-27
1054,17:55,대한화섬,003830,정기주주총회결과,대한화섬,2020-03-27
1053,17:55,두산중공업,034020,특수관계인으로부터받은담보,두산중공업,2020-03-27
1052,17:55,롯데정보통신,286940,사외이사의선임ㆍ해임또는중도퇴임에관한신고,롯데정보통신,2020-03-27
1051,17:55,LS,006260,최대주주등소유주식변동신고서,LS,2020-03-27
1050,17:54,한국종합기술,023350,영업정지,한국종합기술,2020-03-27
